Temperature - (Celsius), Year, Statistics, Country, ISO3
22.89, 2015, Mar Average, Vietnam, VNM
27.10, 2015, Apr Average, Vietnam, VNM
28.04, 2015, May Average, Vietnam, VNM
28.00, 2015, Jun Average, Vietnam, VNM
27.90, 2015, Jul Average, Vietnam, VNM
27.44, 2015, Aug Average, Vietnam, VNM
26.78, 2015, Sep Average, Vietnam, VNM
25.94, 2015, Oct Average, Vietnam, VNM
24.18, 2015, Nov Average, Vietnam, VNM
22.07, 2015, Dec Average, Vietnam, VNM
21.52, 2016, Jan Average, Vietnam, VNM
21.21, 2016, Feb Average, Vietnam, VNM
22.46, 2016, Mar Average, Vietnam, VNM
25.23, 2016, Apr Average, Vietnam, VNM
26.85, 2016, May Average, Vietnam, VNM
27.48, 2016, Jun Average, Vietnam, VNM
27.07, 2016, Jul Average, Vietnam, VNM
27.43, 2016, Aug Average, Vietnam, VNM
27.31, 2016, Sep Average, Vietnam, VNM
25.28, 2016, Oct Average, Vietnam, VNM
23.40, 2016, Nov Average, Vietnam, VNM
21.08, 2016, Dec Average, Vietnam, VNM
20.49, 2017, Jan Average, Vietnam, VNM
20.52, 2017, Feb Average, Vietnam, VNM
22.75, 2017, Mar Average, Vietnam, VNM
25.12, 2017, Apr Average, Vietnam, VNM
27.18, 2017, May Average, Vietnam, VNM
27.26, 2017, Jun Average, Vietnam, VNM
27.32, 2017, Jul Average, Vietnam, VNM
27.00, 2017, Aug Average, Vietnam, VNM
26.68, 2017, Sep Average, Vietnam, VNM
25.26, 2017, Oct Average, Vietnam, VNM
24.19, 2017, Nov Average, Vietnam, VNM
22.26, 2017, Dec Average, Vietnam, VNM
21.01, 2018, Jan Average, Vietnam, VNM
22.75, 2018, Feb Average, Vietnam, VNM
23.37, 2018, Mar Average, Vietnam, VNM
26.92, 2018, Apr Average, Vietnam, VNM
27.83, 2018, May Average, Vietnam, VNM
28.13, 2018, Jun Average, Vietnam, VNM
27.87, 2018, Jul Average, Vietnam, VNM
27.55, 2018, Aug Average, Vietnam, VNM
26.61, 2018, Sep Average, Vietnam, VNM
25.84, 2018, Oct Average, Vietnam, VNM
24.00, 2018, Nov Average, Vietnam, VNM
21.46, 2018, Dec Average, Vietnam, VNM
21.87, 2019, Jan Average, Vietnam, VNM
21.99, 2019, Feb Average, Vietnam, VNM
23.76, 2019, Mar Average, Vietnam, VNM
25.23, 2019, Apr Average, Vietnam, VNM
28.28, 2019, May Average, Vietnam, VNM
28.20, 2019, Jun Average, Vietnam, VNM
28.05, 2019, Jul Average, Vietnam, VNM
27.53, 2019, Aug Average, Vietnam, VNM
27.01, 2019, Sep Average, Vietnam, VNM
24.37, 2019, Oct Average, Vietnam, VNM
23.78, 2019, Nov Average, Vietnam, VNM
21.03, 2019, Dec Average, Vietnam, VNM
